YEAR, r1i1p1f3, r2i1p1f3, r3i1p1f3, Ensemble-mean,
1952.00, -0.00442273, 0.274259, 0.371038, 0.213625,
1953.00, 0.349969, 0.301328, 0.220157, 0.290485,
1954.00, 0.311529, 0.0936798, 0.357006, 0.254072,
1955.00, 0.394519, 0.119097, 0.380891, 0.298169,
1956.00, 0.289108, 0.482279, 0.344539, 0.371975,
1957.00, 0.492138, 0.426549, 0.371993, 0.430227,
1958.00, 0.425797, 0.622663, 0.354584, 0.467681,
1959.00, 0.510919, 0.319489, 0.479999, 0.436802,
1960.00, 0.451714, 0.241397, 0.295920, 0.329677,
1961.00, 0.495784, 0.482007, 0.274421, 0.417404,
1962.00, 0.0723724, 0.0873092, -0.00339265, 0.0520963,
1963.00, -0.946949, -0.696661, -0.992738, -0.878783,
1964.00, -0.640172, -0.272125, -0.377836, -0.430044,
1965.00, -0.0722161, -0.321963, -0.174345, -0.189508,
1966.00, 0.233895, 0.0745284, 0.134504, 0.147642,
1967.00, 0.127167, 0.0935551, 0.126439, 0.115720,
1968.00, 0.0709328, 0.0660895, -0.177216, -0.0133979,
1969.00, 0.175711, 0.155469, 0.0495206, 0.126900,
1970.00, 0.175331, 0.258231, 0.334404, 0.255989,
1971.00, -0.0855902, 0.0770896, 0.0826253, 0.0247082,
1972.00, -0.157266, 0.215668, 0.211178, 0.0898602,
1973.00, 0.329484, 0.0824902, 0.343462, 0.251812,
1974.00, -0.0172451, 0.112192, 0.191275, 0.0954073,
1975.00, -0.118362, -0.482203, -0.237804, -0.279457,
1976.00, 0.159528, 0.0756409, 0.0925788, 0.109249,
1977.00, 0.245226, 0.117331, 0.184625, 0.182394,
1978.00, 0.367921, 0.264945, 0.178696, 0.270521,
1979.00, 0.499591, 0.384395, 0.597895, 0.493960,
1980.00, 0.0235660, 0.434557, 0.316043, 0.258055,
1981.00, 0.300372, 0.159491, 0.501327, 0.320397,
1982.00, -0.0704615, -0.134502, -0.250084, -0.151683,
1983.00, -0.849031, -0.615912, -0.601037, -0.688660,
1984.00, -0.326791, -0.00376966, -0.0348346, -0.121798,
1985.00, -0.124411, 0.183570, 0.165519, 0.0748925,
1986.00, -0.0431174, 0.0838259, -0.0726297, -0.0106404,
1987.00, 0.205386, -0.0486111, 0.261460, 0.139412,
1988.00, 0.305223, 0.308953, 0.333527, 0.315901,
1989.00, 0.235410, 0.0927213, 0.418669, 0.248933,
1990.00, 0.0900218, 0.277832, 0.204728, 0.190861,
1991.00, -0.694278, -0.669746, -0.695578, -0.686534,
1992.00, -1.39234, -1.59953, -1.90676, -1.63288,
1993.00, -0.554568, -0.673850, -0.639217, -0.622545,
1994.00, 0.153216, 0.117311, 0.0496856, 0.106738,
1995.00, 0.104221, 0.589365, 0.239306, 0.310964,
1996.00, 0.0975380, 0.370193, 0.398324, 0.288685,
1997.00, 0.00211931, 0.356615, 0.191179, 0.183305,
1998.00, 0.253599, 0.334533, 0.442993, 0.343708,
1999.00, 0.245677, 0.493849, 0.593514, 0.444347,
2000.00, 0.233365, 0.515235, 0.484897, 0.411166,
2001.00, 0.274354, 0.173352, 0.334488, 0.260731,
2002.00, 0.321882, 0.299929, 0.277325, 0.299712,
2003.00, 0.392853, 0.320793, 0.355221, 0.356289,
2004.00, 0.0335506, 0.0725722, 0.275638, 0.127253,
2005.00, 0.107320, 0.106554, 0.210297, 0.141390,
2006.00, 0.125201, 0.160681, 0.0931810, 0.126354,
2007.00, 0.126672, 0.0722494, -0.154174, 0.0149158,
2008.00, -0.0933772, 0.116212, 0.226994, 0.0832763,
2009.00, 0.133110, 0.348683, 0.0932735, 0.191689,
2010.00, 0.226220, 0.181436, 0.0199268, 0.142528,
2011.00, 0.141652, 0.224857, 0.138390, 0.168300,
2012.00, 0.301148, 0.474734, 0.281806, 0.352563,
2013.00, 0.290062, 0.196697, 0.484848, 0.323869,
2014.00, 0.364035, 0.238748, 0.329135, 0.310640,
2015.00, 0.227112, 0.199259, 0.255529, 0.227300,
2016.00, 0.372845, -0.0436390, 0.252225, 0.193810,
2017.00, 0.388310, -0.000680536, 0.310278, 0.232636,
2018.00, -0.0163043, 0.492817, 0.197789, 0.224767,
2019.00, 0.168745, 0.000492334, 0.139596, 0.102944,
2020.00, -0.256126, 0.192668, 0.256228, 0.0642569,
2021.00, 0.131965, 0.100069, 0.282662, 0.171566,
2022.00, 0.136109, 0.261316, 0.137977, 0.178467,
2023.00, 0.0383283, 0.0736724, 0.284021, 0.132007,
2024.00, -0.0486010, 0.208482, 0.0127495, 0.0575434,
2025.00, 0.0591627, 0.117105, -0.0860248, 0.0300811,
2026.00, 0.303663, 0.0657942, 0.215798, 0.195085,
2027.00, 0.129373, 0.0341246, 0.210091, 0.124529,
2028.00, 0.0870205, 0.0351644, 0.0461355, 0.0561068,
2029.00, 0.255297, 0.195038, 0.182068, 0.210801,
2030.00, 0.320771, 0.270829, 0.0531911, 0.214930,
2031.00, 0.0475123, -0.00314753, 0.0827439, 0.0423695,
2032.00, -0.137265, -0.195639, 0.303804, -0.00969994,
2033.00, 0.0318559, -0.0362916, 0.188812, 0.0614588,
2034.00, -0.0400916, 0.143796, -0.0413323, 0.0207908,
2035.00, 0.0206388, 0.287720, 0.297111, 0.201823,
2036.00, -0.0439017, 0.168754, 0.120370, 0.0817409,
2037.00, 0.0368358, -0.0125242, 0.308823, 0.111045,
2038.00, 0.0264443, 0.199458, 0.426923, 0.217608,
2039.00, 0.367354, 0.0966316, -0.138073, 0.108638,
2040.00, -0.346668, -0.145577, 0.186424, -0.101940,
2041.00, 0.0232289, 0.0503519, -0.104843, -0.0104207,
2042.00, 0.0658092, 0.129179, -0.0378048, 0.0523946,
2043.00, 0.0124109, 0.0658229, -0.0734911, 0.00158089,
2044.00, 0.116365, -0.0892501, 0.217570, 0.0815619,
2045.00, -0.00779681, 0.0941632, 0.0966668, 0.0610111,
2046.00, -0.0166330, -0.00609251, 0.159993, 0.0457559,
2047.00, 0.0290669, 0.117150, 0.109929, 0.0853821,
2048.00, 0.0653869, 0.0699921, 0.0148749, 0.0500847,
2049.00, 0.187317, 0.0645314, -0.110003, 0.0472817,
2050.00, 0.0298955, 0.341062, 0.163853, 0.178270,
2051.00, 0.0593631, 0.308594, 0.265784, 0.211247,
2052.00, -0.144501, -0.114436, -0.00272513, -0.0872209,
2053.00, -0.166682, -0.268224, 0.0953039, -0.113200,
2054.00, 0.165476, 0.0630996, 0.0248186, 0.0844649,
2055.00, -0.00334416, -0.0847911, -0.0830869, -0.0570740,
2056.00, 0.328058, -0.0824013, 0.0966070, 0.114088,
2057.00, 0.0431232, 0.0876981, 0.195749, 0.108857,
2058.00, -0.0261641, 0.0328247, -0.111342, -0.0348939,
2059.00, 0.243942, -0.00974917, 0.0872480, 0.107147,
2060.00, -0.0419684, -0.183493, 0.0527315, -0.0575765,
2061.00, 0.178581, 0.219818, 0.268914, 0.222437,
2062.00, 0.250743, 0.229478, 0.101417, 0.193880,
2063.00, -0.0549887, -0.0336246, 0.306701, 0.0726959,
2064.00, 0.127965, 0.0433982, 0.140840, 0.104068,
2065.00, 0.0982312, 0.0372274, 0.121867, 0.0857751,
2066.00, -0.212063, -0.199986, 0.0572081, -0.118280,
2067.00, 0.380572, -0.0421875, 0.190251, 0.176212,
2068.00, 0.0642609, 0.416218, 0.397170, 0.292550,
2069.00, 0.0182990, 0.365502, 0.256594, 0.213465,
2070.00, 0.148579, 0.236483, 0.187261, 0.190774,
2071.00, 0.247556, 0.251305, 0.211192, 0.236684,
2072.00, 0.136465, -0.107214, -0.227067, -0.0659387,
2073.00, -0.0771195, -0.141439, 0.0717079, -0.0489502,
2074.00, 0.0199709, 0.179313, -0.107532, 0.0305840,
2075.00, 0.125311, 0.222591, -0.0954750, 0.0841421,
2076.00, 0.0839186, 0.00363247, 0.0297977, 0.0391163,
2077.00, 0.260201, 0.0241851, -0.0872757, 0.0657035,
2078.00, -0.00389346, -0.178236, 0.0651043, -0.0390082,
2079.00, 0.0393326, -0.0410866, 0.106191, 0.0348124,
2080.00, 0.286589, 0.175929, 0.0647072, 0.175742,
2081.00, 0.0126826, 0.0592257, 0.00136127, 0.0244232,
2082.00, 0.333801, 0.163224, 0.378394, 0.291806,
2083.00, 0.0324907, 0.409659, 0.142734, 0.194961,
2084.00, 0.0413347, -0.179243, 0.0476039, -0.0301015,
2085.00, 0.252574, -0.0216401, -0.0333685, 0.0658551,
2086.00, 0.0510329, 0.0321084, -0.0520876, 0.0103512,
2087.00, -0.0389275, -0.0956582, 0.107844, -0.00891390,
2088.00, 0.0602999, 0.0273226, 0.103969, 0.0638640,
2089.00, 0.144678, -0.182201, 0.0233378, -0.00472828,
2090.00, -0.115032, 0.0118379, 0.0602558, -0.0143129,
2091.00, 0.143213, 0.176740, -0.129559, 0.0634646,
2092.00, 0.126516, 0.236082, 0.0410411, 0.134546,
2093.00, 0.0730150, -0.0393413, 0.102839, 0.0455042,
2094.00, 0.348672, 0.121563, 0.225106, 0.231781,
2095.00, -0.121876, -0.0962778, 0.0506804, -0.0558245,
2096.00, 0.0765212, 0.0996058, 0.175186, 0.117104,
2097.00, 0.0812006, 0.149551, 0.271774, 0.167508,
2098.00, -0.104468, -0.0440765, 0.281976, 0.0444774,
2099.00, -0.205874, -0.197330, 0.0555163, -0.115896,
